#TYPE System.String
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","ReadCount","Length"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","40","20"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","41","39"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","42","8"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","43","9"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","44","16"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","45","20"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","46","15"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","47","14"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","48","32"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","49","57"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","50","54"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","51","214"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","52","0"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","53","48"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","54","8"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","55","10"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","56","17"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","57","17"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","58","33"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","59","71"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","60","51"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","61","42"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","62","8"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","63","16"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","64","12"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","65","12"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","66","16"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","67","21"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","68","14"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","69","15"
"F:\netsim2026\ciscosim\src\app\page.tsx","F:\netsim2026\ciscosim\src\app","page.tsx","F","Microsoft.PowerShell.Core\FileSystem","70","39"
